No,Commit ID,Date,Summary
1,a49f8e0,2026-06-23,"Add API keys setup + working POC ingestion pipeline"
2,6f1b98d,2026-06-24,"Expand POC to all 7 API sources + ESG/SDG/pillar indicators"
3,cf0355e,2026-06-24,"Fill Kalimantan column (BPS) + Brunei education (WB) + progress reporter"
4,c313800,2026-06-24,"Complete Phase 3 data layer: governance, poverty, SQLite DB, pipeline runner"
5,ea9bd5e,2026-06-25,"Wire Hexagon pillars: Energy, Entertainment, Food, Shelter, Healthcare"
6,04990bf,2026-06-28,"Merge branch 'master' of https://github.com/angelyong/Borneo_Tracker"
7,2e73b43,2026-06-28,"Fire fallback (static CSV) + verified sources for water quality & flood"
8,9806f9c,2026-06-29,"BPS: verified var-id map + Kalimantan roll-up + keep-last-good DB"
9,b402723,2026-06-29,"Fire via GFW VIIRS (FIRMS-independent) + consistent GDP + clean-water 5/5 + Brunei households"
10,601bf94,2026-06-29,"Consistent metrics for Healthcare/Education/Food/Tourism + cited manual-overrides layer"
11,560ae37,2026-06-29,"Update Brunei tourism to 2024 official + document consistency/manual layer/known gaps"
12,00b9e5a,2026-06-30,"Canonical unified-metric flag + Kalimantan air quality fill"
13,d8508bc,2026-06-30,"Add Hexagon support indicators: renewable %, UNESCO WHS, national parks"
14,19e389c,2026-06-30,"Drop river water quality from tracked indicators (SDG6 covered by clean-water access)"
15,2318cc9,2026-06-30,"Add Phase 3 data-layer progress report"
16,24132e1,2026-06-30,"Add Word (.docx) version of the progress report"
17,3e98676,2026-06-30,"Add presentation guide (slide-by-slide + demo + Q&A)"
18,3974b0a,2026-06-30,"Add supervisor-facing project summary (Word)"
19,0b57adb,2026-06-30,"Restructure supervisor summary into 4 sections (indicators / limitations / DB design / progress)"
20,26afdd5,2026-06-30,"Add integration-developer handoff doc"
21,a5a402c,2026-06-30,"Handoff: verify against real frontend code + flag sidebar filename-case bug"
22,9c30add,2026-07-06,"Add trends, SDG page, Resilience Index, daily refresh workflow"
23,db23d08,2026-07-06,"Fix Kalimantan 5/5 coverage via OTF geometry; docs update; WB series backfill"
24,41f63f6,2026-07-07,"Replace mock data with real data on SDG page and Overview panel"
25,cdd3861,2026-07-09,"feat(data): auto-source UNESCO + GDL indicators, retire 7 manual rows"
26,80d44ca,2026-07-10,"feat(districts): add ADM2 district drill-down to Overview dashboard"
27,36ff674,2026-07-10,"feat(dashboard): make Overview search a global region & district locator"
28,4b861c3,2026-07-10,"feat(overview): fill territories by layer value instead of dot markers"
29,f6c047f,2026-07-14,"feat(community): attachment upload, in-post view/download, and post deletion"
30,b102489,2026-07-14,"feat(news): AI-digested Borneo sustainability News Tracker + admin review"
31,e3f6cca,2026-07-14,"Merge feature/news-tracker: News & Insights (AR-3)"
32,50dc6bb,2026-07-14,"Merge branch 'master' of https://github.com/angelyong/Borneo_Tracker"
33,eda4ed0,2026-07-14,"feat(news): Supabase live-store scaffolding (env-gated)"
34,62ea90b,2026-07-14,"ci(news): daily GitHub Action to refresh the news digest"
35,0d0538d,2026-07-14,"feat(news): in-app admin login + live Supabase approval"
36,e242cb2,2026-07-15,"feat(news): full-article rephrase pipeline (publisher-only) + usage controls"
37,208f6ac,2026-07-15,"Merge feature/news-tracker: News & Insights (AR-3) — Supabase live store + full-article rephrase pipeline + daily Action"
38,0c720bc,2026-07-15,"feat(resilience): re-tag clean water to Shelter + RAG 70/40 (Hexagon reframe P0/P1)"
39,14105d2,2026-07-15,"feat(resilience): wire Food (per-capita paddy) + Entertainment (internet%) — Hexagon reframe Phase 1"
40,6121dc5,2026-07-15,"feat(resilience): fill Sabah/Sarawak Energy+Education, Brunei Shelter; fix canonical bug (Phase 1b)"
41,ecbf842,2026-07-15,"feat(resilience): source Sabah energy (87.6%) -> all 6/6; add strict/geometric mode (Phase 1c)"
42,abee82c,2026-07-15,"feat(ui): surface data provenance + methodology (Hexagon reframe Phase 2 / E)"
43,58bf5fe,2026-07-15,"feat(ui): weakest-link hero + score-radar + strict index (Hexagon reframe Phase 3 core)"
44,f4e71c9,2026-07-15,"fix(ui): stop hexagon label clipping + explain Resilience Score on About page"
45,23f60b6,2026-07-15,"docs(about): define 'resilience' in plain language (no framework jargon)"
46,61dff76,2026-07-15,"refactor(ui): remove standalone Methodology page; keep resilience concept on About only"
47,d966531,2026-07-15,"fix(sdg): add SDG9 goal so the new Internet-use indicator is not orphaned"
48,19b74e3,2026-07-15,"feat(ui): small-multiples + money-vs-resilience + Regional_Detail score-radar (Phase 3 optional)"
49,dbc0a53,2026-07-15,"refactor(ui): drop small-multiples usage, widen resilience panel, enlarge money-vs-resilience"
50,4bf114f,2026-07-15,"fix(ui): make money-vs-resilience chart visible (stronger axes + plot backdrop)"
51,49986f6,2026-07-15,"fix(review): report copy + explanations for new indicators; surface new concepts; drop dead SDG file"
52,328d2bd,2026-07-15,"fix(review): disambiguate Electricity access (%/households) + sign-safe fragility gap (yellow items)"
53,7ac2aa3,2026-07-15,"refactor(ui): de-duplicate HexRadar — Overview now uses the shared component (green cleanup)"
54,17aa1c8,2026-07-15,"chore: commit pending working-tree files (report redesign, project docs/specs, skill, config)"
55,87507be,2026-07-15,"Merge branch 'master' into feature/hexagon-reframe"
56,e81b8b5,2026-07-16,"docs(resilience): record the Food/paddy target=100 methodology decision (keep, not 150)"
57,0ddb4b5,2026-07-16,"chore: add .gitattributes to normalise line endings (kill CRLF/LF diff noise)"
58,3e16218,2026-07-16,"feat(auth): unified Supabase login + role-based direct-admin (route C)"
59,f1ef4c1,2026-07-18,"Update digest_news.py"
60,173e25b,2026-07-19,"Merge branch 'master' of https://github.com/angelyong/Borneo_Tracker"
61,9f063a8,2026-07-21,"documents"
